year,songName,songURI,artistName,artistURI,albumName,albumURI,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,mode,key,time_signature,popularity
1980,Desire,spotify:track:4DhSKuTuOcQ0t7EnC7QTWu,Barry Gibb;Maurice Gibb;Robin Gibb;Andy Gibb,"spotify:artist:7Hd38PVp634oGEb9pIDs5d,spotify:artist:6h4ALbc1G80KRRG7THwHic,spotify:artist:4vZduJO8Uukqzx64de5JxV,spotify:artist:4YPqbAiLzBg5DIfsgQZ8QK",After Dark,spotify:album:38WcdvKuiB0E4PC4b8sG6e,0.0902,0.83,0.596,0.000242,0.345,-6.996,0.0415,123.28,0.915,268707,1,7,4,31
1980,Let My Love Open The Door,spotify:track:0otlwsD3mSogk7VJCTp6Kg,Pete Townshend,spotify:artist:24Wa5wIZIo1sPkzVGP0B5p,Empty Glass,spotify:album:0X8rEKkL2TupftQRrOzX4h,0.365,0.651,0.653,0.000117,0.0742,-9.731,0.0545,164.912,0.729,164653,1,0,4,58
1980,Romeo's Tune,spotify:track:6eCWvDQXTITW534IANR5n1,Steve Forbert,spotify:artist:3oAbjWINfcTSAuVUlXXMty,The Best of Steve Forbert: What Kinda Guy?,spotify:album:6MDxxE3rPApEFg1uADJvmw,0.345,0.541,0.554,0.0247,0.215,-11.914,0.0306,94.826,0.737,212667,1,9,4,10
1980,Daydream Believer,spotify:track:6qnPCgHTRisbxBT19Gw7cN,Anne Murray,spotify:artist:7d7q5Y1p2QWS4QRAhTQR5E,Anne Murray The Best Of...So Far - 20 Greatest Hits,spotify:album:7wKiJQImtpNT3kBy5QVPSX,0.0171,0.592,0.538,2.8e-05,0.101,-8.292,0.0256,126.506,0.579,149293,1,10,4,38
1980,I Can't Tell You Why - 2013 Remaster,spotify:track:02BsTeJE4q5gWOTt58ur5U,Eagles,spotify:artist:0ECwFtbIWEVNwjlrfc6xoL,The Long Run (2013 Remaster),spotify:album:1sW1HxI9VppbiXqgFQHVCP,0.69,0.707,0.346,0.145,0.1,-12.397,0.0251,85.094,0.49,295050,0,11,4,61
1980,Don't Let Go,spotify:track:3csommQJ7ozkkPlmuYSFnV,Isaac Hayes,spotify:artist:3IKV7o6WPphDB7cCWXaG3E,Isaac Hayes: The Best Of The Polydor Years,spotify:album:65sswb9hvqtG8dzVLR4FTS,8.84e-05,0.897,0.525,0.709,0.0612,-14.304,0.0592,135.813,0.973,438040,0,0,4,0
1980,Don't Do Me Like That,spotify:track:487KLCKteHJzeoGdbBrgkq,Tom Petty and the Heartbreakers,spotify:artist:4tX2TplrkIP4v05BNC903e,Greatest Hits,spotify:album:2uxG4gg4WnqR5eriMN6ehS,0.131,0.764,0.664,1.4e-05,0.0889,-7.868,0.0269,116.107,0.962,161600,1,0,4,7
1980,She's Out of My Life - Single Version,spotify:track:6NGsHLZYGVAkXTFr75WWnn,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Off the Wall,spotify:album:2ZytN2cY4Zjrr9ukb2rqTP,0.962,0.293,0.0348,0.000212,0.105,-23.92,0.0414,130.959,0.101,218267,1,4,4,57
1980,Fame,spotify:track:7yBl8YmvcgwwYlazJcvowE,Irene Cara,spotify:artist:3oZa8Xs6IjlIUGLAhVyK4G,Fame: The Original Soundtrack from the Motion Picture,spotify:album:2nE5WmbSq3qbyDrOpSTlnq,0.132,0.7,0.73,0,0.133,-8.763,0.0311,130.519,0.961,316067,0,0,4,17
1980,Fire Lake,spotify:track:2fZw0ya0oI4pXsjkB0NBHs,Bob Seger,spotify:artist:485uL27bPomh29R4JmQehQ,Against The Wind,spotify:album:2Go2GZ8qMznHdAoLO1cG4W,0.23,0.613,0.695,0.00191,0.187,-5.783,0.0253,122.47,0.45,212987,1,9,4,50
1980,How Do I Make You,spotify:track:2WX2HSBKkcKVvqTukHZS22,Linda Ronstadt,spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc,Mad Love,spotify:album:6cmZh9HLohWMUTkshUyLt1,0.000427,0.42,0.822,3.83e-05,0.166,-8.269,0.0542,165.936,0.843,144773,1,11,4,37
1980,Into The Night,spotify:track:0rhyBUAgNXwdyvGVXSrLzc,Benny Mardones,spotify:artist:6ZalUpnU8HaHSjROM92Txw,Never Run Never Hide,spotify:album:5ERaMYO6utxG7HftrKO95m,0.463,0.435,0.69,0,0.104,-6.635,0.0388,163.486,0.51,271800,0,0,4,51
1980,Let Me Love You Tonight,spotify:track:6vOMU2u38Z9Wru3CqPxcKs,Pure Prairie League,spotify:artist:1MXwwmS2JpmsHZhdMeOL2s,Firin' Up,spotify:album:6Norh72qPrDRebO1656Xo1,0.404,0.461,0.454,0,0.0657,-12.352,0.0488,104.556,0.703,167107,1,10,4,41
1980,Misunderstanding,spotify:track:7zjSZQkMoGKylSq6s1rK9Y,Genesis,spotify:artist:3CkvROUTQ6nRi9yQOcsB50,Duke,spotify:album:7ryVZ5ca6GM3FAkmlrymgv,0.234,0.645,0.828,0,0.2,-8.493,0.0373,121.217,0.774,191667,1,0,3,48
1980,An American Dream,spotify:track:4zqFPSBji6hVDBFWxzp6Oz,Nitty Gritty Dirt Band,spotify:artist:7y70dch6JuuuNnwlsOQvwW,An American Dream,spotify:album:2AiZFtDyhJRezHIZNUal33,0.253,0.776,0.635,0,0.0817,-6.321,0.0282,111.192,0.825,217200,1,2,4,45
1980,One Fine Day,spotify:track:0yFNDhDfpUudsjtpwokyx0,Carole King,spotify:artist:319yZVtYM9MBGqmSQnMyY6,Pearls: Songs of Goffin & King,spotify:album:0rwgfoVEgvcCvuwNsamaul,0.0133,0.397,0.809,0.00176,0.277,-6.557,0.0348,180.804,0.735,150200,1,5,4,41
1980,Dim All The Lights,spotify:track:1qC7SmBAo1PznvOG6p5CyH,Donna Summer,spotify:artist:2eogQKWWoohI3BSnoG7E2U,Bad Girls,spotify:album:3pO9uRVL8kmoVfkcN73w3h,0.0408,0.798,0.62,0.000321,0.0993,-14.0,0.0335,120.518,0.826,280776,1,7,4,0
1980,You May Be Right,spotify:track:7gMOe0gXYcELUoVugfMmHP,Billy Joel,spotify:artist:6zFYqv1mOsgBRQbae3JJ9e,Glass Houses,spotify:album:5sztejERqpktXEdemlUvU5,0.175,0.567,0.945,2.6e-06,0.35,-7.243,0.0458,150.792,0.961,253200,1,9,4,62
1980,Should've Never Let You Go,spotify:track:4hIAiFaEtHWWofVzVm4eTo,Neil Sedaka;Dara Sedaka,"spotify:artist:5N6GwJzOcOY5kv8p0NjhYL,spotify:artist:5SoVIaYUH7OhB4AMcUqZp8",The Definitive Collection,spotify:album:4MQXUCdpFPqi1jsM4N8aSR,0.799,0.295,0.274,8.74e-06,0.0831,-10.942,0.032,144.766,0.268,258133,1,10,4,28
1980,Pilot Of The Airwaves (Re-Recorded / Remastered),spotify:track:7MHboIoaWgIknMRRJylLzP,Charlie Dore,spotify:artist:5rWIUjXLlUngm23tFkNs7Z,80s Monster Ballads,spotify:album:6Ym3v8BbsLOebq0kPbR54a,0.457,0.62,0.498,0,0.509,-9.084,0.0366,119.215,0.604,227000,1,0,4,25
1980,Hurt so Bad,spotify:track:3c0Ys2ie05I4Csansv7Jhi,Linda Ronstadt,spotify:artist:1sXbwvCQLGZnaH0Jp2HTVc,Mad Love,spotify:album:6cmZh9HLohWMUTkshUyLt1,0.371,0.63,0.432,7.11e-05,0.11,-9.454,0.0275,99.889,0.604,196000,0,7,4,33
1980,Off the Wall,spotify:track:3zYpRGnnoegSpt3SguSo3W,Michael Jackson,spotify:artist:3fMbdgg4jU18AjLCKBhRSm,Off the Wall,spotify:album:2ZytN2cY4Zjrr9ukb2rqTP,0.182,0.827,0.595,0,0.0785,-13.909,0.0565,118.741,0.921,246000,0,3,4,62
